## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-05-01_00-39-35 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch0;ch1;ch2;ch3
1086;1168;1251;1337
1429;1517;1607;1698
1792;1883;1974;2066
2139;2209;2278;2346
2420;2488;2566;2643
2720;2795;2870;2943
3014;3084;3153;3220
3285;3348;3409;3468
3525;3591;3653;3715
3775;3828;3873;3914
3956;3991;4021;4046
4066;4081;4090;4095
4094;4087;4076;4060
4038;4011;3978;3942
3899;3851;3800;3749
3687;3622;3555;3489
3418;3351;3280;3206
3127;3049;2968;2887
2800;2713;2626;2539
2447;2355;2265;2172
2075;1984;1890;1799
1705;1616;1528;1440
1351;1267;1181;1100
1016;936;861;787
714;647;581;510
440;379;322;269
223;178;140;107
75;50;30;15
5;1;1;6
16;31;51;76
107;142;180;224
275;329;382;439
507;577;651;719
793;866;943;1022
1105;1186;1270;1355
1445;1533;1623;1713
1808;1900;1993;2084
2156;2226;2295;2363
2436;2505;2572;2643
2720;2795;2870;2943
3014;3084;3153;3220
3285;3348;3409;3468
3525;3591;3653;3715
3775;3828;3873;3914
3956;3991;4021;4046
4066;4081;4090;4095
4094;4087;4076;4060
4038;4011;3978;3942
3899;3851;3800;3749
3687;3622;3555;3489
3418;3351;3280;3206
3127;3049;2968;2887
2800;2713;2626;2539
2447;2355;2265;2172
2075;1984;1890;1799
1705;1616;1528;1440
1351;1267;1181;1100
1016;936;861;787
714;647;581;510
440;379;322;269
223;178;140;107
75;50;30;15
5;1;1;6
16;31;51;76
107;142;180;224
275;329;382;439
507;577;651;719
793;866;943;1022
1105;1186;1270;1355
1445;1533;1623;1713
1808;1900;1993;2084
2156;2226;2295;2363
2436;2505;2572;2643
2720;2795;2870;2943
3014;3084;3153;3220
3285;3348;3409;3468
3525;3591;3653;3715
3775;3828;3873;3914
3956;3991;4021;4046
4066;4081;4090;4095
4094;4087;4076;4060
4038;4011;3978;3942
3899;3851;3800;3749
3687;3622;3555;3489
3418;3351;3280;3206
3127;3049;2968;2887
2800;2713;2626;2539
2447;2355;2265;2172
2075;1984;1890;1799
1705;1616;1528;1440
1351;1267;1181;1100
