## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-05-01_00-27-49 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch0;ch1;ch2;ch3
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
3841;3892;3944;3995
4046;2;53;105
156;207;258;309
361;412;463;514
565;616;668;719
770;821;872;924
975;1026;1077;1128
1180;1231;1282;1333
1384;1435;1487;1538
1589;1640;1691;1743
1794;1845;1896;1947
1999;2050;2101;2152
2203;2254;2306;2357
2408;2459;2510;2562
2613;2664;2715;2766
2818;2869;2920;2971
3022;3073;3125;3176
3227;3278;3329;3381
3432;3483;3534;3585
3637;3688;3739;3790
