## File generated by myo_cap software 
## Available from github.com/ddantas/myo_cap 
## Timestamp: 2020-04-30_23-20-07 
##  
## EMG capture settings 
##  
# sampleRate: 2000 
# channelsPerBoard: 4 
# nBoards: 1 
# bitsPerSample: 12 
# ch0;ch1;ch2;ch3
319;262;240;239
239;168;176;164
152;159;143;109
88;100;127;127
86;96;116;127
84;88;127;127
116;100;96;108
119;127;127;127
127;127;84;96
127;103;111;111
95;80;88;114
127;127;114;116
127;95;76;80
112;79;72;100
111;64;84;108
111;64;92;111
111;87;64;80
100;111;79;64
72;108;95;66
64;72;68;80
111;79;79;68
64;84;111;95
111;96;96;92
104;68;64;94
106;111;100;111
95;68;96;106
111;103;74;72
106;111;119;111
111;72;80;118
116;111;110;124
127;127;103;88
72;88;98;104
117;111;123;123
120;127;76;96
114;127;111;123
127;102;80;80
84;96;108;123
119;87;72;72
100;118;111;93
72;80;127;111
119;127;96;88
96;104;127;79
72;100;119;103
68;72;96;96
111;111;111;111
108;111;119;119
79;80;84;88
88;111;95;64
80;102;111;95
72;72;104;111
119;123;127;111
72;124;127;127
111;111;103;80
88;104;127;127
127;127;103;80
108;122;95;88
116;93;80;104
127;64;116;103
79;72;100;111
95;64;92;111
111;111;111;87
68;88;119;87
64;88;111;78
64;80;111;111
111;111;111;111
78;80;100;114
118;108;110;96
84;84;92;92
88;111;95;72
64;72;80;106
111;110;96;96
110;95;68;64
98;111;91;64
80;98;92;84
109;91;64;72
111;75;64;92
111;95;64;84
110;95;74;64
64;76;76;82
90;95;79;95
77;70;64;108
111;64;76;111
95;64;72;84
111;79;64;88
111;56;64;80
111;54;64;110
95;52;64;84
103;79;64;76
111;56;64;84
95;107;95;78
64;68;98;111
111;64;72;88
84;111;95;64
80;94;98;111
111;95;95;64
80;108;96;88
80;88;94;111
111;70;64;80
111;71;64;64
100;62;52;64
92;95;90;102
111;70;64;72
106;95;64;64
84;111;87;64
72;111;87;64
64;76;80;88
107;95;111;95
64;110;111;100
88;90;92;110
111;100;88;80
68;72;68;88
103;48;84;95
111;95;95;95
95;64;84;96
111;111;111;91
68;64;110;111
95;111;96;88
110;111;87;64
80;88;111;79
64;96;95;66
68;88;111;95
87;64;98;111
95;64;84;88
96;111;111;77
64;72;102;111
64;72;106;111
64;96;111;79
64;84;111;64
72;96;110;111
95;72;64;80
106;111;111;119
111;102;80;72
84;100;100;106
111;87;64;100
111;64;72;96
111;64;84;106
111;111;111;79
64;88;111;95
95;79;64;80
96;111;95;79
68;80;111;111
118;111;95;72
68;84;110;95
64;84;111;111
111;119;110;100
88;76;80;96
111;64;72;92
111;111;111;111
79;72;96;119
111;64;88;96
111;111;111;123
127;91;80;114
111;68;88;116
127;68;84;96
111;72;68;88
111;87;64;72
110;95;64;72
111;64;76;111
79;68;92;100
111;56;100;95
95;79;64;68
92;107;111;95
64;64;76;107
79;64;88;111
95;70;64;72
102;95;108;102
119;79;64;96
100;108;100;88
80;90;80;80
84;94;111;103
111;95;79;64
72;88;111;75
64;108;95;77
64;72;80;102
95;64;64;76
94;103;111;71
64;80;111;111
100;111;75;64
92;111;111;78
64;80;106;111
95;64;88;110
111;64;96;103
78;64;74;64
88;111;95;71
64;111;79;64
64;88;106;100
88;94;94;96
104;103;111;95
93;79;94;79
72;80;100;110
110;111;108;118
119;111;111;68
96;127;64;96
104;111;119;118
110;119;119;119
127;68;88;119
127;111;127;95
80;100;122;127
122;116;126;127
127;76;96;124
127;127;111;95
80;96;127;78
